Pulp Fiction
The Amazing Spider-Man 2
The Shawshank Redemption
Star Wars: Episode IV - A New Hope
Back to the Future
The Breakfast Club
The Goonies
The Silence of the Lambs
Jurassic Park
The Lion King
Se7en
Toy Story
The Big Lebowski
Saving Private Ryan
Fight Club
The Matrix
Star Wars: Episode I - The Phantom Menace
Gladiator
X-Men
Harry Potter and the Sorcerer's Stone
The Lord of the Rings: The Fellowship of the Ring
The Lord of the Rings: The Two Towers
xXx
Finding Nemo
The Lord of the Rings: The Return of the King
Anchorman: The Legend of Ron Burgundy
Mean Girls
Sin City
Star Wars: Episode III - Revenge of the Sith
Batman Begins
The Departed
The Prestige
V for Vendetta
Casino Royale
Transformers
The Dark Knight
Iron Man
Quantum of Solace
Tropic Thunder
G.I. Joe: The Rise of Cobra
The Hangover
Inglourious Basterds
Star Trek
Taken
Up
X-Men Origins: Wolverine
Zombieland
2012
Avatar
Despicable Me
Grown Ups
How to Train Your Dragon
Inception
Iron Man 2
Kick-Ass
RED
Shutter Island
TRON: Legacy
Toy Story 3
Drive
Fast Five
Harry Potter and the Deathly Hallows: Part 2
Limitless
Pirates of the Caribbean: On Stranger Tides
X: First Class
The Girl with the Dragon Tattoo
The Help
In Time
21 Jump Street
The Amazing Spider-Man
American Reunion
The Avengers
Battleship
The Bourne Legacy
Brave
The Cabin in the Woods
The Campaign
Cloud Atlas
The Dark Knight Rises
Dark Shadows
Django Unchained
Dredd
End of Watch
The Expendables 2
Flight
The Guilt Trip
Here Comes the Boom
The Hobbit: An Unexpected Journey
Hotel Transylvania
Jack Reacher
John Carter
Killing Them Softly
Lawless
Life of Pi
Looper
Magic Mike
Man on a Ledge
The Man with the Iron Fists
The Master
Men in Black 3
Parental Guidance
Project X
Prometheus
Red Dawn
Rise of the Guardians
Savages
Seven Psychopaths
Sinister
Skyfall
Snow White and the Huntsman
Taken 2
Ted
That's My Boy
This Is 40
Total Recall
Promised Land
Wreck-It Ralph
Jack the Giant Slayer
Oz the Great and Powerful
A Good Day to Die Hard
Trance
Side Effects
Spring Breakers
The Incredible Burt Wonderstone
Disconnect
Mud
The Company You Keep
Olympus Has Fallen
The Place Beyond the Pines
G.I. Joe: Retaliation
The Croods
A Haunted House
World War Z
Oblivion
Ender's Game
The Hobbit: The Desolation of Smaug
Man of Steel
Pacific Rim
The Hunger Games: Catching Fire
The Lone Ranger
The Wolverine
Elysium
After Earth
Iron Man Three
This Is the End
R.I.P.D.
Thor: The Dark World
Star Trek Into Darkness
Now You See Me
The Hangover Part III
Kick-Ass 2
The Lords of Salem
Iron Sky
The Impossible
Filly Brown
Antiviral
Anna Karenina
The Cloth
What Richard Did
Stand Up Guys
Tomorrow You're Gone
Not Fade Away
Any Day Now
Under the Bed
The Outback
The Boondock Saints
The Evil Dead
42
Evil Dead
Scary Movie V
Broken City
Gangster Squad
Furious 6
Pain & Gain
The Numbers Station
Mama
Pawn
300: Rise of an Empire
Temptation: Confessions of a Marriage Counselor
The Way Way Back
Grown Ups 2
Dark Skies
Assassins Run
Percy Jackson: Sea of Monsters
The Bling Ring
Identity Thief
The Big Wedding
Welcome to the Punch
Only God Forgives
Devils of War
Movie 43
The Haunting in Connecticut 2: Ghosts of Georgia
The Call
Crush
Hansel & Gretel: Witch Hunters
The Purge
Snitch
The Godfather: Part II
One Flew Over the Cuckoo's Nest
Star Wars: Episode V - The Empire Strikes Back
Indiana Jones and the Raiders of the Lost Ark
Apocalypse Now
Alien
Blade Runner
E.T. the Extra-Terrestrial
The Outsiders
Scarface
Star Wars: Episode VI - Return of the Jedi
Ghostbusters
Red Dawn
The Terminator
Full Metal Jacket
Die Hard
Léon: The Professional
The Usual Suspects
Heat
Independence Day
Good Will Hunting
Armageddon
The Truman Show
American Beauty
Big Daddy
The Green Mile
The Mummy
Office Space
The Sixth Sense
Toy Story 2
American Psycho
Scary Movie
Snatch
Monsters, Inc.
Men in Black II
Red Dragon
Spider-Man
Spirited Away
Star Wars: Episode II - Attack of the Clones
The Italian Job
The Matrix Reloaded
Pirates of the Caribbean: The Curse of the Black Pearl
Big Fish
Kill Bill: Vol. 1
Dodgeball: A True Underdog Story
EuroTrip
Harry Potter and the Prisoner of Azkaban
The Incredibles
Napoleon Dynamite
Shaun of the Dead
Crash
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe
Harry Potter and the Goblet of Fire
Cars
Pan's Labyrinth
Superman Returns
Talladega Nights: The Ballad of Ricky Bobby
X-Men: The Last Stand
The Bourne Ultimatum
